Feature,Heuristic,Q Learning
food,5,5
food,5,5
food,5,5
capsule,5,5
capsule,5,5
sghost,5,5
sghost,5,5
food,1,5
sghost,5,5
sghost,5,5
sghost,5,5
sghost,5,5
sghost,5,5
sghost,5,5
sghost,5,5
sghost,5,4
sfood,5,4
unknown,4,1
sghost,5,5
sghost,5,5
sghost,5,5
sfood,5,5
sfood,5,5
food,5,3
food,5,4
food,5,2
sfood,5,5
sfood,5,5
food,5,5
food,5,5
ghost,5,5
ghost,5,5
ghost,5,5
ghost,5,5
sfood,5,5
ghost,5,5
sfood,5,3
sfood,5,3
sfood,5,3
food,5,5
ghost,4,2
ghost,5,5
food,5,5
food,3,5
food,4,5
food,5,5
food,5,5
food,5,5
food,5,5
food,5,5
ghost,5,1
food,2,4
food,4,4
food,5,5
ghost,5,5
food,5,5
ghost,5,3
capsule,5,3
food,5,4
food,5,2
food,5,5
sfood,5,4
sfood,5,1
sfood,5,5
food,3,5
food,5,5
food,5,5
food,5,5
food,5,5
food,5,5
capsule,5,2
sghost,5,5
sghost,2,5
sghost,4,3
sghost,5,5
sfood,5,5
sghost,4,5
sghost,4,5
sghost,4,5
food,5,5
food,5,5
unknown,5,5
capsule,4,5
capsule,5,5
sfood,5,5
sghost,5,4
sghost,5,3
sghost,5,5
unknown,5,5
sfood,5,5
food,5,5
food,4,4
ghost,5,1
unknown,5,5
unknown,5,5
unknown,5,5
food,4,5
food,5,5
capsule,5,3
capsule,5,5
sghost,5,5
sghost,5,5
food,4,4
sfood,5,5
ghost,4,4
food,5,4
ghost,5,5
food,3,5
food,3,5
sghost,5,5
sghost,5,5
unknown,5,5
food,5,3
sfood,5,5
sfood,5,5
sfood,5,5
sfood,5,5
food,5,5
food,5,5
food,5,5
unknown,3,4
food,5,5
unknown,5,5
ghost,5,3
ghost,5,3
food,5,5
food,5,5
food,5,5
